# Potential [kJ/mol] 	 Volume [ml/g] 
12.792505072166442 	 7.84552187230372e-6 
12.11921533678926 	 0.001788778986885248 
11.44592560141208 	 0.0052721906981881 
10.772635866034898 	 0.010732673921311487 
10.099346130657718 	 0.019064618149698037 
9.426056395280536 	 0.030785827826919795 
8.752766659903354 	 0.04679069244641938 
8.079476924526174 	 0.06533750615254537 
7.4061871891489925 	 0.09066285075634178 
6.732897453771812 	 0.1151879521291632 
6.059607718394631 	 0.13547647169094063 
5.38631798301745 	 0.15576499125271806 
4.713028247640268 	 0.17624180333943074 
4.039738512263087 	 0.19728349300094933 
3.366448776885906 	 0.22270298386721338 
2.6931590415087245 	 0.2512763745261435 
2.0198693061315436 	 0.2846982977021574 
1.3465795707543624 	 0.3026802338334775 
0.6732898353771811 	 0.304139500901726 
1.0e-7 	 0.3062107186760141 
